name,vname,strasse,ort,tel1,tel2,email,geb,weight,height,g1
schmid,willi,astrasse,landshut,z5,z6,z7,710101,92.07,1.61,8.81185
mueller,hugo,astrasse,stuttgart,y5,y6,y7,710101,83.93,1.91,9.79276
schmid,klaus,astrasse,muenchen,x5,x6,x7,610101,61.03,1.76,12.97804
bauer,hugo,bstrasse,unterempfenbach,w5,w6,w7,610101,99.89,1.53,11.79198
a1,willi,bstrasse,unterempfenbach,a5,a6,a7,610101,84.11,1.88,9.94724
niederegger,klaus,bstrasse,unterempfenbach,b5,b6,b7,610101,43.14,1.87,3.92101
bauer,klaus,cstrasse,muenchen,c5,c6,c7,610101,86.87,1.66,11.82425
bauer,willi,cstrasse,stuttgart,d5,d6,d7,610101,48.88,1.53,7.29172
e1,otto,cstrasse,berlin,e5,e6,e7,810101,83.38,1.92,6.10277
mayer,werner,cstrasse,muenchen,f5,f6,f7,810101,83.66,1.67,5.72408
g1,fritz,cstrasse,hamburg,g5,g6,g7,810101,57.21,1.72,8.9549
mueller,klaus,dstrasse,muenchen,h5,h6,h7,810101,57.84,1.63,7.6424
k1,fritz,dstrasse,hamburg,k5,k6,k7,810101,46.09,1.6,11.66156
schmid,willi,dstrasse,landshut,i5,i6,i7,710101,80.12,1.82,14.95963
maier,otto,dstrasse,muenchen,j5,j6,j7,710101,53.12,1.86,15.93255
maier,klaus,dstrasse,muenchen,k5,k6,k7,910101,62.12,1.96,14.07341
l1,hugo,estrasse,landshut,l5,l6,l7,910101,69.65,1.94,12.56016
m1,fritz,estrasse,stuttgart,m5,m6,m7,910101,49.46,1.68,13.37032
schmid,willi,estrasse,stuttgart,n5,n6,n7,610101,77.89,1.89,9.58635
huber,willi,fstrasse,muenchen,o5,o6,o7,610101,82.47,1.99,9.63183
p1,otto,fstrasse,berlin,p5,p6,p7,610101,70.64,1.91,12.97883
